Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSJ,83304A106,SNAP ,"1,164,989","31,454,703.00",5.904,Snap Inc,Common Stock,Communication Services,10/09/2020
PSJ,256163106,DOCU ,"117,926","26,604,105.60",4.994,DocuSign Inc,Common Stock,Information Technology,10/09/2020
PSJ,530307305,LBRDK ,"179,330","26,408,135.80",4.957,Liberty Broadband Corp,Common Stock,Communication Services,10/09/2020
PSJ,82509L107,SHOP ,"24,041","26,348,936.00",4.946,Shopify Inc,Common Stock,Information Technology,10/09/2020
PSJ,00724F101,ADBE ,"49,630","24,922,200.80",4.678,Adobe Inc,Common Stock,Information Technology,10/09/2020
PSJ,594918104,MSFT ,"111,779","24,123,025.99",4.528,Microsoft Corp,Common Stock,Information Technology,10/09/2020
PSJ,00507V109,ATVI ,"301,870","23,609,252.70",4.432,Activision Blizzard Inc,Common Stock,Communication Services,10/09/2020
PSJ,285512109,EA ,"178,647","22,768,560.15",4.274,Electronic Arts Inc,Common Stock,Communication Services,10/09/2020
PSJ,77543R102,ROKU ,"85,821","19,219,612.95",3.608,Roku Inc,Common Stock,Communication Services,10/09/2020
PSJ,05351X101,AVYA ,"914,877","16,970,968.35",3.186,Avaya Holdings Corp,Common Stock,Information Technology,10/09/2020
PSJ,05988J103,BAND ,"92,722","16,515,642.64",3.100,Bandwidth Inc,Common Stock,Communication Services,10/09/2020
PSJ,05338G106,AVLR ,"107,191","16,314,470.20",3.062,Avalara Inc,Common Stock,Information Technology,10/09/2020
PSJ,09239B109,BL ,"162,851","16,029,423.93",3.009,Blackline Inc,Common Stock,Information Technology,10/09/2020
PSJ,67020Y100,NUAN ,"465,767","15,989,781.11",3.001,Nuance Communications Inc,Common Stock,Information Technology,10/09/2020
PSJ,88025T102,TENB ,"381,095","15,552,486.95",2.919,Tenable Holdings Inc,Common Stock,Information Technology,10/09/2020
PSJ,45781D101,INOV ,"564,094","15,506,944.06",2.911,Inovalon Holdings Inc,Common Stock,Health Care,10/09/2020
PSJ,338307101,FIVN ,"109,511","15,340,300.88",2.880,Five9 Inc,Common Stock,Information Technology,10/09/2020
PSJ,750917106,RMBS ,"1,041,437","15,048,764.65",2.825,Rambus Inc,Common Stock,Information Technology,10/09/2020
PSJ,09215C105,BKI ,"165,426","14,969,398.74",2.810,Black Knight Inc,Common Stock,Information Technology,10/09/2020
PSJ,78463M107,SPSC ,"171,569","14,734,345.72",2.766,SPS Commerce Inc,Common Stock,Information Technology,10/09/2020
PSJ,156727109,CRNC ,"267,882","14,401,336.32",2.703,Cerence Inc,Common Stock,Information Technology,10/09/2020
PSJ,303250104,FICO ,"32,505","14,376,961.50",2.699,Fair Isaac Corp,Common Stock,Information Technology,10/09/2020
PSJ,268150109,DT ,"323,681","13,934,467.05",2.616,Dynatrace Inc,Common Stock,Information Technology,10/09/2020
PSJ,426281101,JKHY ,"83,295","13,701,194.55",2.572,Jack Henry & Associates Inc,Common Stock,Information Technology,10/09/2020
PSJ,379890106,GLUU ,"1,735,508","13,623,737.80",2.557,Glu Mobile Inc,Common Stock,Communication Services,10/09/2020
PSJ,177376100,CTXS ,"97,123","13,541,859.89",2.542,Citrix Systems Inc,Common Stock,Information Technology,10/09/2020
PSJ,25659T107,DLB ,"197,550","13,532,175.00",2.540,Dolby Laboratories Inc,Common Stock,Information Technology,10/09/2020
PSJ,74758T303,QLYS ,"129,447","12,931,755.30",2.427,Qualys Inc,Common Stock,Information Technology,10/09/2020
PSJ,29978A104,EVBG ,"95,253","12,049,504.50",2.262,Everbridge Inc,Common Stock,Information Technology,10/09/2020
PSJ,668771108,NLOK ,"571,562","11,994,228.57",2.251,NortonLifeLock Inc,Common Stock,Information Technology,10/09/2020
PSJ,825252885,AGPXX ,"220,426","220,426.08",0.041,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
